"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяется, что при переключении на вкладку 'Булки' ингредиенты прокручиваются до нужной позиции на странице.","7180","Проверка работы вкладки Булки в разделе с ингредиентами","","2026-04-05","passed","2026-04-05","","Проверки конструктора (главной страницы)","ru.educationservices.stellarburgers.tests.MainPageTests","checkNavBunsIsSuccess"
"Проверяется успешная авторизация пользователя через кнопку «Личный кабинет» на главной странице. После авторизации кнопка в корзине должна отображать надпись «Оформить заказ».","17097","Вход через кнопку «Личный кабинет»","","2026-04-05","passed","2026-04-05","","Авторизация пользователя","ru.educationservices.stellarburgers.tests.AuthTests","authFromLinkToProfileIsSuccess"
"Проверяется успешная авторизация пользователя через ссылку авторизации на форме восстановления пароля. После авторизации кнопка в корзине должна отображать надпись «Оформить заказ».","8080","Вход через кнопку в форме восстановления пароля","","2026-04-05","passed","2026-04-05","","Авторизация пользователя","ru.educationservices.stellarburgers.tests.AuthTests","authLinkFromForgotPasswordFormIsSuccess"
"Проверяется успешная регистрация нового пользователя. После регистрации форма должна перезагрузиться и открыться страница авторизации.","5903","Успешная регистрация","","2026-04-05","passed","2026-04-05","","Регистрация пользователя","ru.educationservices.stellarburgers.tests.RegisterPageTests","registerNewUserIsSuccess"
"Проверяется, что при переключении на вкладку 'Начинки' ингредиенты прокручиваются до нужной позиции на странице.","5352","Проверка работы вкладки Начинки в разделе с ингредиентами","","2026-04-05","passed","2026-04-05","","Проверки конструктора (главной страницы)","ru.educationservices.stellarburgers.tests.MainPageTests","checkNavFillingsIsSuccess"
"Проверяется, что регистрация с паролем меньше минимальной длины завершается ошибкой. На форме должно появиться сообщение 'Некорректный пароль'.","4782","Регистрация с коротким паролем","","2026-04-05","passed","2026-04-05","","Регистрация пользователя","ru.educationservices.stellarburgers.tests.RegisterPageTests","registerNewUserLowPasswordIsFailed"
"Проверяется успешная авторизация пользователя с главной страницы через кнопку «Войти в аккаунт». После авторизации ожидается, что кнопка в корзине отображает надпись «Оформить заказ».","7251","Вход по кнопке «Войти в аккаунт» на главной","","2026-04-05","passed","2026-04-05","","Авторизация пользователя","ru.educationservices.stellarburgers.tests.AuthTests","authFromMainIsSuccess"
"Проверяется, что при переключении на вкладку 'Соусы' ингредиенты прокручиваются до нужной позиции на странице.","5307","Проверка работы вкладки Соусы в разделе с ингредиентами","","2026-04-05","passed","2026-04-05","","Проверки конструктора (главной страницы)","ru.educationservices.stellarburgers.tests.MainPageTests","checkNavToppingsIsSuccess"
"Проверяется успешная авторизация пользователя через ссылку авторизации на форме регистрации. После авторизации кнопка в корзине должна отображать надпись «Оформить заказ».","10232","Вход через кнопку в форме регистрации","","2026-04-05","passed","2026-04-05","","Авторизация пользователя","ru.educationservices.stellarburgers.tests.AuthTests","authLinkFromRegFormIsSuccess"
